,label,별점,참여,N_clicks,finish,pieces,episode,omnibus,story,daily,comic,fantasy,action,drama,pure,sensibility,thrill,historical,sports,영화,드라마,도서
0,10월 28일,9.753030303,18571.12121,0.927184466,1,3,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
3,2013 전설의고향,9.2284,18131.56,0.872168285,1,11,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
4,2015 사이,9.8685,38074.45,0.982200647,1,11,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
5,2015 소름,9.826153846,32788.23077,0.974110032,1,11,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0
6,2016 비명,9.177368421,33295.73684,0.862459547,1,11,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
7,2017 멋진 신세계,9.938823529,15911.58824,0.990291262,1,11,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
8,203호 저승사자,9.91625,14071.78571,0.98381877,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
9,2호선 세입자,9.836666667,19402.83333,0.985436893,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
10,3P,9.918679245,7247.075472,0.990291262,1,4,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0
11,3단합체김창남,9.948333333,16573.83333,0.993527508,1,5,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1
12,AA,9.668392857,284.0178571,0.948220065,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
13,ENT.,9.452222222,27728.83333,0.878640777,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0
14,Ho!,9.977777778,29100.66667,0.996763754,1,3,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1
15,LOST,9.541363636,3861.363636,0.92394822,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
16,MLB카툰,8.038039773,156.8338068,0.681229773,1,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
17,MODERN BOYS,9.548867925,2195.283019,0.930420712,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
18,MY OH,9.936153846,12418,0.995145631,1,2,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0
19,MZ,9.9412,10789.46,0.991909385,1,4,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
20,N의등대-busted,9.874,6051.2,0.980582524,1,8,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
21,N의등대-눈의등대,9.915609756,5853.829268,0.987055016,1,6,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
22,N의등대-도망자,9.775833333,3720.5,0.959546926,1,6,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
23,"OH, MY GOD!",9.937407407,32149.48148,0.991909385,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
24,SM 플레이어,9.855,17757.66667,0.988673139,1,7,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
25,S라인,9.7775,10114,0.975728155,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
26,TLT season2,9.812027027,671.1486486,0.970873786,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
27,가우스전자 시즌1~2,9.94584,10994.904,0.995145631,1,4,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1
28,가족사진,9.848269231,1666.057692,0.975728155,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
29,강시대소동,9.751333333,24499.73333,0.959546926,1,2,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
30,개판,9.939880952,4394.821429,0.982200647,1,2,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
31,갸오오와 사랑꾼들,9.946410256,12053.52991,0.991909385,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
32,거상 김만덕,9.905,2017.214286,0.98381877,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0
33,겨울동화,9.890769231,2247.923077,0.98381877,1,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
34,견우와 직녀,9.944,18191.6,0.993527508,1,2,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
35,경운기를 탄 왕자님,9.908333333,8665.5,0.985436893,1,5,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
36,계룡선녀전,9.985090909,26086.10909,0.998381877,1,2,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,1
37,고고고,9.971538462,19601.92308,0.996763754,1,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0
38,고고루키루,9.95938326,5593.854626,0.995145631,1,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
39,고민툰,3.989333333,12093.26667,0.025889968,1,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
40,고삼이 집나갔다,9.85,26111.25,0.959546926,1,9,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1
41,고시생툰,9.926428571,7243.285714,0.988673139,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
42,고인돌나라의 야물,8.868095238,499.7619048,0.812297735,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
43,골방환상곡,9.920883191,1548.843305,0.988673139,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
44,공감.jpg,5.185833333,48067.38889,0.093851133,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
45,공부하기 좋은 날,9.898965517,17916.03448,0.974110032,1,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
46,공주는 잠 못 이루고,9.944,35298.46667,0.993527508,1,2,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1
47,구름의 노래,9.895076923,6109.230769,0.982200647,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
48,구름의 이동속도,9.953333333,24855.5,0.998381877,1,3,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
49,구석구석캠페인,9.265,171.5416667,0.877022654,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
50,국가의 탄생,9.321,2409.4,0.914239482,1,3,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
51,군인RPG,9.847380952,8422.238095,0.962783172,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
52,굿모닝 보스,9.807323232,2063.09596,0.96763754,1,4,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1
53,굿모닝 스페이스,9.88030303,5428.030303,0.980582524,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
54,권번기생 비밀의 기억,9.533478261,975.6086957,0.922330097,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
55,귀도,9.904375,27046.5625,0.987055016,1,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
56,귀전구담,9.978461538,42287.97436,0.998381877,1,1,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0
57,그날의 생존자들,9.906,9721.8,0.961165049,1,6,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
58,그녀는 흡!혈귀,9.93,29353.44444,0.991909385,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
59,그들에게 사면초가,9.94490566,17164.90566,0.991909385,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
